id,created_at,text
525489452270252032,2014-10-24 03:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/z66v51Uvlt
525481930952048640,2014-10-24 03:00:29,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/sYINk9vhGd
525474359180537856,2014-10-24 02:30:24,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/YaDO3O3HjU
525466975372587008,2014-10-24 02:01:04,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/vWnKnUjrZb
525459255164678144,2014-10-24 01:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/XXhkgUvawq
525451755166105600,2014-10-24 01:00:35,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/VmZDik7rfg
525444156425261057,2014-10-24 00:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/Vf4ujewALk
525436681508638721,2014-10-24 00:00:41,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/hmieE4m2O5
525429054867255298,2014-10-23 23:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/AeNbs3NLSf
525421623315554306,2014-10-23 23:00:51,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/M5bioNkCft
525413949144313856,2014-10-23 22:30:21,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/Zz2615EjNf
525406432418889731,2014-10-23 22:00:29,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/GD3ceGcVPh
525398855723266049,2014-10-23 21:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/5Yqxws1lbz
525391350058213379,2014-10-23 21:00:33,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/ATCoHjjcZl
525383756543447040,2014-10-23 20:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/1DGja2gkpK
525376347003453440,2014-10-23 20:00:56,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/1EQ7VNQMRl
525368670198185987,2014-10-23 19:30:26,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/lmplCkciEv
525361121386323969,2014-10-23 19:00:26,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/qOlD8scApA
525353608335097856,2014-10-23 18:30:35,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/e25QfpSov2
525346155941867520,2014-10-23 18:00:58,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/Z0WstYhaC9
525338459318517761,2014-10-23 17:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/8q58mtFAW1
525330933147529217,2014-10-23 17:00:29,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/6RqPXFebsf
525323357458542592,2014-10-23 16:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/zoZutYZtPR
525315839760027649,2014-10-23 16:00:30,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/tijvuZGg4a
525308253694328835,2014-10-23 15:30:22,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/Cu814LsUzJ
525300723018641409,2014-10-23 15:00:26,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/im4ZfBzg5a
525293161074417664,2014-10-23 14:30:23,10 PRINT CHR$(205.5+RND(1)); : GOTO 10 http://t.co/QQ6GihQhxV
